Diameter,Fraction,Minutes,RPM
7.5,0.01586579,30,50
22.5,0.470354313,30,50
37.5,0.284319676,30,50
52.5,0.146944625,30,50
67.5,0.132974444,30,50
82.5,0.082055544,30,50
7.5,0.014146012,90,50
22.5,0.329009803,90,50
37.5,0.269993015,90,50
52.5,0.165033601,90,50
67.5,0.117737312,90,50
82.5,0.160529422,90,50
7.5,0.011520582,120,50
22.5,0.299354481,120,50
37.5,0.243054652,120,50
52.5,0.137189585,120,50
67.5,0.116036804,120,50
82.5,0.107462004,120,50
97.5,0.133581424,120,50
7.5,0.009810439,180,50
22.5,0.231883325,180,50
37.5,0.239523569,180,50
52.5,0.075123443,180,50
67.5,0.08097165,180,50
82.5,0.098545174,180,50
97.5,0.078264325,180,50
112.5,0.248093552,180,50
7.5,0.015481766,0,100
22.5,0.426800722,0,100
37.5,0.383385217,0,100
52.5,0.252596498,0,100
7.5,0.021741407,10,100
22.5,0.463595741,10,100
37.5,0.278070692,10,100
52.5,0.279923531,10,100
67.5,0.022827682,10,100
7.5,0.01959503,20,100
22.5,0.535123538,20,100
37.5,0.336974507,20,100
52.5,0.216715745,20,100
67.5,0.038566527,20,100
7.5,0.01428331,30,100
22.5,0.324556188,30,100
37.5,0.341132643,30,100
52.5,0.15982556,30,100
67.5,0.194300324,30,100
7.5,0.017272071,90,100
22.5,0.397243645,90,100
37.5,0.392714183,90,100
52.5,0.290759337,90,100
67.5,0.057790256,90,100
7.5,0.013935553,120,100
22.5,0.322349076,120,100
37.5,0.342824856,120,100
52.5,0.162447867,120,100
67.5,0.19841795,120,100
7.5,0.021820173,180,100
22.5,0.447459167,180,100
37.5,0.348994618,180,100
52.5,0.12203686,180,100
67.5,0.156296745,180,100
